WTP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerA_id,PlayerB,PlayerB_id,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhang S.,242,Frech M.,35,30,87,1355,720,3.75,1.28
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Podoroska N.,91,Ponchet J.,159,101,123,639,566,1.66,2.2
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kostyuk M.,150,Sabalenka A.,178,39,2,1225,7541,6.5,1.11
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Udvardy P.,237,Shymanovich I.,0,95,211,675,335,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Parrizas Diaz N.,222,Hunter S.,0,93,202,679,346,1.8,2.0
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Linette M.,173,Fernandez L.A.,233,21,51,1825,1023,1.9,1.9
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sakkari M.,164,Muchova K.,107,8,42,3391,1125,1.9,1.9
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bejlek S.,0,Rakhimova K.,9,180,85,385,735,2.0,1.8
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cornet A.,122,Giorgi C.,268,59,36,920,1278,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tauson C.,241,Sasnovich A.,279,126,50,541,1034,1.66,2.2
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Mertens E.,49,Hruncakova V.,0,28,136,1439,520,1.11,6.5
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Jeanjean L.,258,Birrell K.,0,129,111,539,590,2.0,1.8
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zidansek T.,8,Zheng Q.,61,110,19,604,1998,4.5,1.2
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Townsend T.,197,Potapova A.,193,108,24,609,1665,2.75,1.44
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Niemeier J.,255,Kasatkina D.,77,72,9,789,3275,3.75,1.28
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bondar A.,50,Begu I.,125,103,27,635,1452,3.2,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Errani S.,270,Teichmann J.,191,70,75,802,768,3.2,1.36
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Sherif M.,75,Brengle M.,231,55,94,973,677,1.28,3.75
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Collins D.,232,Pegula J.,137,45,3,1073,5205,4.5,1.2
,Paris,French Open,28/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Samsonova L.,132,Volynets K.,213,15,90,2236,690,1.28,3.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Masarova R.,0,Gauff C.,240,68,6,816,4305,4.5,1.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kontaveit A.,46,Pera B.,42,73,38,779,1237,1.9,1.9
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Azarenka V.,4,Andreescu B.,2,18,41,2087,1142,1.5,2.62
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Janicijevic S.,234,Dodin O.,60,188,121,369,567,2.37,1.57
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Swiatek I.,130,Bucsa C.,208,1,67,8940,820,1.01,26.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Yastremska D.,64,Vekic D.,210,144,22,480,1813,2.5,1.53
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Hibino N.,147,Friedsam A.L.,63,112,92,589,680,2.37,1.57
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,McNally C. ,0,Bogdan A.,111,54,60,979,918,2.1,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bronzetti L.,121,Jabeur O.,53,102,7,637,3541,4.5,1.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Maria T.,163,Haddad Maia B.,238,64,14,855,2420,4.5,1.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Andreeva M.,0,Riske A.,228,143,83,481,741,1.1,7.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kalinskaya A.,183,Navarro E.,0,53,82,985,745,1.66,2.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Gracheva V. ,0,Galfi D.,82,44,96,1102,674,1.28,3.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kvitova P. ,0,Cocciaretto E.,275,10,43,3162,1115,1.8,2.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Ostapenko J.,6,Martincova T.,103,17,91,2130,683,1.14,5.5
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Blinkova A.,72,Bonaventure Y.,113,66,81,821,746,1.44,2.75
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kudermetova V.,235,Schmiedlova A.,280,11,98,2950,666,1.083,8.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Wang Xin.,131,Bouzkova M.,171,78,32,763,1318,3.75,1.28
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pavlyuchenkova A.,143,Fruhvirtova L.,0,424,56,119,963,1.36,3.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Bolsova A.,170,Kucova K.,267,131,443,531,112,1.36,3.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rus A.,207,Grabher J.,0,113,74,586,769,1.57,2.37
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Alexandrova E.,24,Tomova V.,223,23,71,1725,797,1.33,3.4
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Martic P.,160,Rogers S.,10,37,33,1270,1303,1.61,2.3
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Burel C.,108,Sorribes Tormo S.,34,122,132,566,529,3.0,1.4
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Stearns P.,0,Siniakova K.,73,69,47,806,1057,1.4,3.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Rybakina E.,182,Fruhvirtova B.,0,4,146,5090,477,1.071,9.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Waltert S.,0,Mandlik E. ,0,127,118,540,574,2.1,1.72
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,In-Albon Y.,0,Liu C.,153,148,100,463,659,2.2,1.66
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Vondrousova M.,126,Parks A.,0,57,49,936,1049,1.071,9.0
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Pliskova Kr.,65,Stephens S.,162,16,35,2160,1280,1.66,2.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Danilovic O.,245,Kozlova K.,127,104,80,625,748,1.22,4.33
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Avanesyan E.,0,Bencic B.,57,134,12,522,2750,7.0,1.1
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhu L.,37,Davis L.,211,40,58,1175,931,3.0,1.4
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Marino R.,20,Shnaider S.,0,79,107,758,616,2.62,1.5
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Noskova L.,256,Kovinic D.,31,48,65,1050,852,1.72,2.1
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Garcia C.,43,Wang Xiy.,51,5,62,5025,909,1.36,3.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kanepi K.,224,Keys M.,86,76,20,768,1861,4.5,1.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kalinina A.,99,Parry D.,216,25,77,1657,764,1.3,3.5
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cristea S. ,0,Paolini J.,148,31,52,1327,1005,1.36,3.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tsurenko L. ,0,Krejcikova B. ,0,63,13,883,2680,3.4,1.33
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Peterson R.,146,Ferro F. ,0,86,462,730,103,1.66,2.2
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Day K.,0,Mladenovic K. ,0,138,165,509,420,1.2,4.5
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Svitolina E. ,0,Trevisan M. ,0,508,26,87,1608,1.9,1.9
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Putintseva Y. ,0,Zanevska M.,154,61,88,916,717,1.44,2.75
